Species	Field Season	Date Collected	Plot	Sex	Weight (g)	
DM	1978	1978-01-08	4	F	37	
DM	1978	1978-01-08	4	M	NA	
DM	1978	1978-01-08	4	F	48	
DM	2013	2013-07-15	2	F	NA	
DM	2013	2013-07-15	7	M	33	
DM	2013	2013-07-15	3	M	NA	
DM	2013	2013-07-15	1	M	NA	
DM	2013	2013-07-17	3	M	40	
DM	2013	2013-07-17	7	M	48	
DM	2013	2013-07-17	4	F	29	
DM	2013	2013-07-17	6	F	37	
DM	2014	2014-01-08	1	M	40	
DM	2014	2014-01-08	1	F	36	
DM	2014	2014-03-12	1	F	51	
DM	2014	2014-03-12	1	F	44	
DM	2014	2014-01-07	2	M	44	
DM	2014	2014-01-07	2	M	45	
DM	2014	2014-02-17	2	M	52	
DO	1978	1978-01-08	4	M	52	
DO	2013	2013-08-19	8	F	52	
DO	2013	2013-10-16	3	F	33	
DO	2013	2013-10-16	3	F	50	
DO	2013	2013-12-09	9	F	40	
DO	2013	2013-12-09	1	M	45	
DO	2013	2013-12-10	8	F	41	
DS	2013	2013-12-10	9	F	117	
DS	2013	2013-11-12	11	F	126	
DS	2013	2013-11-12	17	M	NA	
DS	2013	2013-11-12	14	F	NA	
DS	2013	2013-11-12	11	F	122	
DS	2013	2013-11-12	4	F	107	
DS	2013	2013-11-12	4	F	115	
DS	2014	2014-03-12	1	F	146	
DS	2014	2014-01-07	2	M	157	
OL	1978	1978-01-08	4	M	35	
OT	2014	2014-01-07	2	NA	NA	
OT	2014	2014-06-08	3	F	29	
OX	2014	2014-01-07	2	NA	NA	
PF	2014	2014-01-07	2	F	7	
PF	2014	2014-02-17	2	F	7	
PF	2014	2014-03-11	3	M	8	
NA	2014	2014-07-08	3	F	115	
NA	2014	2014-07-08	3	M	190	
NA	2014	2014-05-18	3	F	182	
NA	2014	2014-05-06	3	NA	NA	
NA	2014	2014-04-08	3	F	NA	
NA	2014	2014-02-17	2	M	218	
NA	2014	2014-01-07	2	NA	NA	